base_text,latitude,longitude,month,Canx,aircraft
HANSCOM AFB,42.469953,-71.289031,6,0.08125,f-35
HANSCOM AFB,42.469953,-71.289031,7,0.0866935483870967,f-35
HANSCOM AFB,42.469953,-71.289031,8,0.0484848484848484,f-35
HANSCOM AFB,42.469953,-71.289031,9,0.0605427974947807,f-35
HANSCOM AFB,42.469953,-71.289031,10,0.0665322580645161,f-35
HANSCOM AFB,42.469953,-71.289031,11,0.05625,f-35
HANSCOM AFB,42.469953,-71.289031,12,0.0665322580645161,f-35
HICKAM AFB,21.3166666,-157.9166666,1,0.002016129032258,f-35
HICKAM AFB,21.3166666,-157.9166666,2,0.0,f-35
HICKAM AFB,21.3166666,-157.9166666,3,0.0,f-35
HICKAM AFB,21.3166666,-157.9166666,4,0.0,f-35
HICKAM AFB,21.3166666,-157.9166666,5,0.0040322580645161,f-35
HICKAM AFB,21.3166666,-157.9166666,6,0.0020833333333333,f-35
HICKAM AFB,21.3166666,-157.9166666,7,0.0,f-35
HICKAM AFB,21.3166666,-157.9166666,8,0.0,f-35
HICKAM AFB,21.3166666,-157.9166666,9,0.0,f-35
HICKAM AFB,21.3166666,-157.9166666,10,0.0040322580645161,f-35
HICKAM AFB,21.3166666,-157.9166666,11,0.0,f-35
HICKAM AFB,21.3166666,-157.9166666,12,0.0,f-35
HILL AFB,41.13211,-111.993982,1,0.0811359026369168,f-35
HILL AFB,41.13211,-111.993982,2,0.073170731707317,f-35
HILL AFB,41.13211,-111.993982,3,0.0080645161290322,f-35
HILL AFB,41.13211,-111.993982,4,0.0146443514644351,f-35
HILL AFB,41.13211,-111.993982,5,0.0060483870967741,f-35
HILL AFB,41.13211,-111.993982,6,0.0,f-35
HILL AFB,41.13211,-111.993982,7,0.0040322580645161,f-35
HILL AFB,41.13211,-111.993982,8,0.0161616161616161,f-35
HILL AFB,41.13211,-111.993982,9,0.0147679324894514,f-35
HILL AFB,41.13211,-111.993982,10,0.002016129032258,f-35
HILL AFB,41.13211,-111.993982,11,0.010593220338983,f-35
HILL AFB,41.13211,-111.993982,12,0.0204498977505112,f-35
LACKLAND AFB,29.384228,-98.581108,1,0.0566801619433198,f-35
LACKLAND AFB,29.384228,-98.581108,2,0.0376940133037694,f-35
LACKLAND AFB,29.384228,-98.581108,3,0.0221774193548387,f-35
LACKLAND AFB,29.384228,-98.581108,4,0.0292275574112734,f-35
LACKLAND AFB,29.384228,-98.581108,5,0.0141414141414141,f-35
LACKLAND AFB,29.384228,-98.581108,6,0.0020833333333333,f-35
LACKLAND AFB,29.384228,-98.581108,7,0.0,f-35
